timestamp,open,high,low,close,volume
2024-09-03,59132.12,59809.65,57415.0,57487.73,22828.18447
2024-09-04,57487.74,58519.0,55606.0,57970.9,35560.82146
2024-09-05,57970.9,58327.07,55643.65,56180.0,27806.91413
2024-09-06,56180.0,57008.0,52550.0,53962.97,54447.76826
2024-09-07,53962.97,54850.0,53745.54,54160.86,16694.04774
2024-09-08,54160.86,55318.0,53629.01,54869.95,16274.14779
2024-09-09,54869.95,58088.0,54591.96,57042.0,32384.51737
2024-09-10,57042.01,58044.36,56386.4,57635.99,23626.78126
2024-09-11,57635.99,57981.71,55545.19,57338.0,33026.56757
2024-09-12,57338.0,58588.0,57324.0,58132.32,31074.40631
2024-09-13,58132.31,60625.0,57632.62,60498.0,29825.23333
2024-09-14,60497.99,60610.45,59400.0,59993.03,12137.90901
2024-09-15,59993.02,60395.8,58691.05,59132.0,13757.92361
2024-09-16,59132.0,59210.7,57493.3,58213.99,26477.5642
2024-09-17,58213.99,61320.0,57610.01,60313.99,33116.25878
2024-09-18,60313.99,61786.24,59174.8,61759.99,36087.02469
2024-09-19,61759.98,63850.0,61555.0,62947.99,34332.52608
2024-09-20,62948.0,64133.32,62350.0,63201.05,25466.37794
2024-09-21,63201.05,63559.9,62758.0,63348.96,8375.34608
2024-09-22,63348.97,64000.0,62357.93,63578.76,14242.19892
2024-09-23,63578.76,64745.88,62538.75,63339.99,24078.05287
2024-09-24,63339.99,64688.0,62700.0,64262.7,23185.04759
2024-09-25,64262.7,64817.99,62947.08,63152.01,17813.11168
2024-09-26,63152.01,65839.0,62670.0,65173.99,28373.30593
2024-09-27,65173.99,66498.0,64819.9,65769.95,22048.80487
2024-09-28,65769.95,66260.0,65422.23,65858.0,9127.23316
2024-09-29,65858.0,66076.12,65432.0,65602.01,8337.74111
2024-09-30,65602.01,65618.8,62856.3,63327.59,30011.08752
2024-10-01,63327.6,64130.63,60164.0,60805.78,43671.48108
2024-10-02,60804.92,62390.31,60000.0,60649.28,31534.70118
2024-10-03,60649.27,61477.19,59828.11,60752.71,26221.43472
2024-10-04,60752.72,62484.85,60459.9,62086.0,21294.65994
2024-10-05,62086.0,62370.56,61689.26,62058.0,7807.46141
2024-10-06,62058.01,62975.0,61798.97,62819.91,8906.86177
2024-10-07,62819.91,64478.19,62128.0,62224.0,25966.1852
2024-10-08,62224.01,63200.0,61860.31,62160.49,19702.22371
2024-10-09,62160.5,62543.75,60301.0,60636.02,20011.15684
2024-10-10,60636.01,61321.68,58946.0,60326.39,23967.92481
2024-10-11,60326.4,63417.56,60087.64,62540.0,23641.35209
2024-10-12,62539.99,63480.0,62487.23,63206.22,10911.30116
2024-10-13,63206.23,63285.72,62050.0,62870.02,11909.21995
2024-10-14,62870.02,66500.0,62457.81,66083.99,37669.95222
2024-10-15,66084.0,67950.0,64800.01,67074.14,43683.95423
2024-10-16,67074.14,68424.0,66750.49,67620.01,29938.25544
2024-10-17,67620.0,67939.4,66666.0,67421.78,25328.22861
2024-10-18,67421.78,69000.0,67192.36,68428.0,28725.635
2024-10-19,68427.99,68693.26,68010.0,68378.0,8193.66737
2024-10-20,68377.99,69400.0,68100.0,69031.99,12442.47378
2024-10-21,69032.0,69519.52,66840.67,67377.5,31374.42184
2024-10-22,67377.5,67836.01,66571.42,67426.0,24598.96268
2024-10-23,67426.01,67472.83,65260.0,66668.65,25530.2407
2024-10-24,66668.65,68850.0,66510.0,68198.28,22589.83877
2024-10-25,68198.27,68771.49,65596.29,66698.33,34479.71125
2024-10-26,66698.32,67454.55,66439.9,67092.76,11842.9077
2024-10-27,67092.76,68332.05,66913.73,68021.7,8653.19592
2024-10-28,68021.69,70270.0,67618.0,69962.21,29046.75459
2024-10-29,69962.21,73620.12,69760.0,72736.42,50128.60594
2024-10-30,72736.41,72961.0,71436.0,72344.74,26885.99056
2024-10-31,72344.75,72700.0,69685.76,70292.01,29352.10297
2024-11-01,70292.01,71632.95,68820.14,69496.01,38301.86755
2024-11-02,69496.0,69914.37,69000.14,69374.74,10521.67243
2024-11-03,69374.74,69391.0,67478.73,68775.99,24995.70243
2024-11-04,68775.99,69500.0,66835.0,67850.01,29800.39187
2024-11-05,67850.01,70577.91,67476.63,69372.01,33355.06888
2024-11-06,69372.01,76400.0,69298.0,75571.99,104126.994787
2024-11-07,75571.99,76849.99,74416.0,75857.89,44869.422345
2024-11-08,75857.89,77199.99,75555.0,76509.78,36521.099583
2024-11-09,76509.78,76900.0,75714.66,76677.46,16942.07915
2024-11-10,76677.46,81500.0,76492.0,80370.01,61830.100435
2024-11-11,80370.01,89530.54,80216.01,88647.99,82323.665776
2024-11-12,88648.0,89940.0,85072.0,87952.01,97299.887911
2024-11-13,87952.0,93265.64,86127.99,90375.2,86763.854127
2024-11-14,90375.21,91790.0,86668.21,87325.59,56729.51086
2024-11-15,87325.59,91850.0,87073.38,91032.07,47927.95068
2024-11-16,91032.08,91779.66,90056.17,90586.92,22717.87689
2024-11-17,90587.98,91449.99,88722.0,89855.99,23867.55609
2024-11-18,89855.98,92594.0,89376.9,90464.08,46545.03448
2024-11-19,90464.07,93905.51,90357.0,92310.79,43660.04682
2024-11-20,92310.8,94831.97,91500.0,94286.56,42203.198712
2024-11-21,94286.56,98988.0,94040.0,98317.12,69228.360477
2024-11-22,98317.12,99588.01,97122.11,98892.0,46189.309243
2024-11-23,98892.0,98908.85,97136.0,97672.4,24757.84367
2024-11-24,97672.4,98564.0,95734.77,97900.04,31200.97838
2024-11-25,97900.05,98871.8,92600.19,93010.01,50847.45096
2024-11-26,93010.01,94973.37,90791.1,91965.16,57858.73138
2024-11-27,91965.16,97208.21,91792.14,95863.11,41153.42734
2024-11-28,95863.11,96564.0,94640.0,95643.98,28814.54357
2024-11-29,95643.99,98619.99,95364.99,97460.0,27701.78231
2024-11-30,97460.0,97463.95,96092.01,96407.99,14503.83306
2024-12-01,96407.99,97836.0,95693.88,97185.18,16938.60452
2024-12-02,97185.17,98130.0,94395.0,95840.62,37958.66981
2024-12-03,95840.61,96305.52,93578.17,95849.69,35827.32283
2024-12-04,95849.69,99000.0,94587.83,98587.32,43850.53728
2024-12-05,98587.32,104088.0,90500.0,96945.63,109921.729662
2024-12-06,96945.63,101898.99,95981.72,99740.84,45049.5331
2024-12-07,99740.84,100439.18,98844.0,99831.99,14931.9459
2024-12-08,99831.99,101351.0,98657.7,101109.59,14612.99688
2024-12-09,101109.6,101215.93,94150.05,97276.47,53949.11595
2024-12-10,97276.48,98270.0,94256.54,96593.0,51708.68933
2024-12-11,96593.0,101888.0,95658.24,101125.0,37753.78291
2024-12-12,101125.0,102540.0,99311.64,100004.29,29232.08745
2024-12-13,100004.29,101895.26,99205.0,101424.25,21904.03923
2024-12-14,101424.24,102650.0,100609.41,101420.0,14191.70326
2024-12-15,101420.0,105250.0,101237.14,104463.99,22228.921775
2024-12-16,104463.99,107793.07,103333.0,106058.66,41302.40274
2024-12-17,106058.65,108353.0,105321.49,106133.74,29064.936466
2024-12-18,106133.74,106524.98,100000.0,100204.01,50307.99755
2024-12-19,100204.01,102800.11,95700.0,97461.86,55147.398
2024-12-20,97461.86,98233.0,92232.54,97805.44,62884.1357
2024-12-21,97805.44,99540.61,96398.39,97291.99,23483.54143
2024-12-22,97292.0,97448.08,94250.35,95186.27,19353.83036
2024-12-23,95186.28,96538.92,92520.0,94881.47,32810.76703
2024-12-24,94881.47,99487.99,93569.02,98663.58,23674.22488
2024-12-25,98663.58,99569.15,97632.02,99429.6,14474.1651
2024-12-26,99429.61,99963.7,95199.14,95791.6,21192.36727
2024-12-27,95791.6,97544.58,93500.01,94299.03,26501.26429
2024-12-28,94299.03,95733.99,94135.66,95300.0,8385.8929
2024-12-29,95300.0,95340.0,93009.52,93738.2,13576.00578
2024-12-30,93738.19,95024.5,91530.45,92792.05,27619.4225
2024-12-31,92792.05,96250.0,92033.73,93576.0,19612.03389
2025-01-01,93576.0,95151.15,92888.0,94591.79,10373.32613
2025-01-02,94591.78,97839.5,94392.0,96984.79,21970.48948
2025-01-03,96984.79,98976.91,96100.01,98174.18,15253.82936
2025-01-04,98174.17,98778.43,97514.79,98220.5,8990.05651
2025-01-05,98220.51,98836.85,97276.79,98363.61,8095.63723
2025-01-06,98363.61,102480.0,97920.0,102235.6,25263.43375
2025-01-07,102235.6,102724.38,96181.81,96954.61,32059.87537
2025-01-08,96954.6,97268.65,92500.9,95060.61,33704.67894
2025-01-09,95060.61,95382.32,91203.67,92552.49,34544.83685
2025-01-10,92552.49,95836.0,92206.02,94726.11,31482.86424
2025-01-11,94726.1,95050.94,93831.73,94599.99,7047.9043
2025-01-12,94599.99,95450.1,93711.19,94545.06,8606.86622
2025-01-13,94545.07,95940.0,89256.69,94536.1,42619.56423
2025-01-14,94536.11,97371.0,94346.22,96560.86,27846.61753
2025-01-15,96560.85,100681.94,96500.0,100497.35,30509.99179
2025-01-16,100497.35,100866.66,97335.13,99987.3,27832.85317
2025-01-17,99987.3,105865.22,99950.77,104077.48,39171.85292
2025-01-18,104077.47,104988.88,102277.55,104556.23,24307.82998
2025-01-19,104556.23,106422.43,99651.6,101331.57,43397.28298
2025-01-20,101331.57,109588.0,99550.0,102260.01,89529.231732
2025-01-21,102260.0,107240.81,100119.04,106143.82,45941.02002
2025-01-22,106143.82,106394.46,103339.12,103706.66,22248.69254
