timestamp,funding_rate,trade_size,entry_spot,close_spot,entry_futures,close_futures,profit
2024-02-13 16:00:00,0.0001,0.01,49917.27,49699.59,49943.6,49696.4,0.049943600000000005
2024-02-14 00:00:00,0.0001,0.01,49983.09,49838.93,50019.9,49845.0,0.05001990000000001
2024-02-14 08:00:00,0.0001,0.01,48727.47,51590.0,48753.1,51616.4,0.04875310000000001
2024-02-14 16:00:00,0.0001,0.01,49699.59,51795.17,49696.4,51823.2,0.04969640000000001
2024-02-15 00:00:00,0.0001,0.01,49838.93,51776.61,49845.0,51802.4,0.061219629
2024-02-15 08:00:00,0.0001,0.01,51590.0,51948.23,51616.4,51968.7,0.05161640000000001
2024-02-15 16:00:00,0.0001,0.01,51795.17,51880.0,51823.2,51898.5,0.05182320000000001
2024-02-16 00:00:00,0.00012282,0.012282,51776.61,51731.99,51802.4,51786.4,0.06362370768
2024-02-16 08:00:00,0.0001,0.01,51948.23,51888.01,51968.7,51909.3,0.05196870000000001
2024-02-16 16:00:00,0.0001,0.01,51880.0,52124.11,51898.5,52148.6,0.05189850000000001
2024-02-17 00:00:00,0.0001,0.01,51731.99,51911.33,51786.4,51933.9,0.05178640000000001
2024-02-17 08:00:00,0.0001,0.01,51888.01,50984.56,51909.3,51013.4,0.05190930000000001
2024-02-17 16:00:00,0.0001,0.01,52124.11,51642.64,52148.6,51679.4,0.05214860000000001
2024-02-18 00:00:00,0.0001,0.01,51911.33,51671.1,51933.9,51703.7,0.08330716899
2024-02-18 08:00:00,0.0001,0.01,50984.56,51773.99,51013.4,51808.9,0.0879471016
2024-02-18 16:00:00,0.0001,0.01,51642.64,52137.67,51679.4,52175.9,0.07909532169994832
2024-02-19 00:00:00,0.00016041,0.016041,51671.1,52394.04,51703.7,52423.9,0.14178234888803204
2024-02-19 08:00:00,0.0001724,0.01724,51773.99,52127.99,51808.9,52157.5,0.20600428895904002
2024-02-19 16:00:00,0.0001530499999999,0.015304999999989998,52137.67,51774.73,52175.9,51813.8,0.15646830817292776
2024-02-20 00:00:00,0.0001709499999999,0.01709499999999,52394.04,51839.28,52423.9,51869.2,0.11943478425046514
2024-02-20 08:00:00,0.00023064,0.023064,52127.99,51680.0,52157.5,51712.7,0.1258417062738
2024-02-20 16:00:00,0.00019594,0.019593999999999997,51774.73,52258.82,51813.8,52297.4,0.11078294484646399
2024-02-21 00:00:00,0.00013327,0.013327,51839.28,51568.64,51869.2,51599.9,0.140042531225556
2024-02-21 08:00:00,0.00010461,0.010461,51680.0,51156.0,51712.7,51183.7,0.05409665547
2024-02-21 16:00:00,0.00010912,0.010912,52258.82,51849.39,52297.4,51877.8,0.064154634701696
2024-02-22 00:00:00,0.00020259,0.020259,51568.64,51827.63,51599.9,51860.6,0.10453623741
2024-02-22 08:00:00,0.0001,0.01,51156.0,51602.4,51183.7,51630.0,0.051183700000000006
2024-02-22 16:00:00,0.00011242,0.011241999999999999,51849.39,51288.42,51877.8,51316.9,0.07861090657820399
2024-02-23 00:00:00,0.0001,0.01,51827.63,50915.96,51860.6,50952.3,0.06512135542
2024-02-23 08:00:00,0.0001,0.01,51602.4,50911.11,51630.0,50938.1,0.05163000000000001
